Gene,FT 15d,FT 25d,FT 55d,FT 85d,FT 115d,FS 145d
Pbr000773.1,,,,,,
Pbr000776.1,6805300000.0,3940400000.0,3452400000.0,4639900000.0,4090400000.0,5486600000.0
Pbr000777.1,17353000000.0,12816000000.0,17122000000.0,9988600000.0,8206500000.0,12718000000.0
Pbr000778.1,,,48556000.0,74697000.0,,60854000.0
Pbr000780.1,360080000.0,330390000.0,368530000.0,304340000.0,531930000.0,360930000.0
Pbr000782.1,352900000.0,771410000.0,338950000.0,308950000.0,311610000.0,256720000.0
Pbr000783.1,6044500.0,19311000.0,3939400.0,2295400.0,,21903000.0
Pbr000784.1,,39010000.0,34615000.0,,33595000.0,
Pbr000785.1,6836600000.0,3535000000.0,3443800000.0,2533800000.0,2234800000.0,1790600000.0
Pbr000786.1,,139540000.0,91615000.0,106190000.0,,
Pbr000789.1,723210000.0,739880000.0,339260000.0,386960000.0,917120000.0,1030500000.0
Pbr000797.3,223760000.0,241670000.0,140220000.0,110510000.0,,
Pbr000802.1,4176200000.0,3333400000.0,2310200000.0,1836900000.0,1308800000.0,958430000.0
